journal_id,canonical_title,missing_year,previous_year,next_year
8141,Lithics,2023,2022,2024
8176,Supplement to Aramaic Studies,2021,2020,2022
8262,"International Conference on Software, Knowledge Information, Industrial Management and Applications, SKIMA",2021,2020,2022
8533,EURALEX Proceedings,2023,2022,2024
8627,Studies in Corpus Linguistics,2022,2021,2023
8989,Trends in Language Acquisition Research,2022,2021,2023
8992,Typological Studies in Language,2020,2019,2021
9674,Proceedings of Electronic Lexicography in the 21st Century Conference,2022,2021,2023
9698,Advanced Sciences and Technologies for Security Applications,2021,2020,2022
10146,Scripta Instituti Donneriani Aboensis,2022,2021,2023
10193,Proceedings of the International Conference of Architectural Science Association,2021,2020,2022
10341,International Conference on Quality Engineering and Management,2021,2020,2022
10415,Mediterranean Archaeology,2020,2019,2021
10415,Mediterranean Archaeology,2023,2022,2024
10437,Journal of Forensic Document Examination,2020,2019,2021
10446,Dante e l'Arte,2020,2019,2021
10464,Cuadernos de Prehistoria y Arqueologia de la Universidad de Granada,2020,2019,2021
10488,Video Journal of Education and Pedagogy,2020,2019,2021
10533,Educational Governance Research,2021,2020,2022
10660,Journal of Islamic Ethics,2020,2019,2021
10761,Studies in Universal Logic,2020,2019,2021
10806,Actes (IFSTTAR),2022,2021,2023
10883,Challenges to National Defence in Contemporary Geopolitical Situation,2021,2020,2022
10891,Remittances Review (discontinued),2020,2019,2021
10924,Journal of Hospital Management and Health Policy,2020,2019,2021
10949,Studia Heideggeriana,2020,2019,2021
10997,International Research Symposium on PBL,2022,2021,2023
10998,Proceedings of the International Conference Computational Linguistics in Bulgaria,2021,2020,2022
11005,Lexis - Journal in English Lexicology,2020,2019,2021
11077,GLOCAL Conference Proceedings,2021,2020,2022
11080,Symmetry: Culture and Science,2020,2019,2021
11158,Substantia,2020,2019,2021
11162,Acta Universitatis Carolinae Studia Territorialia,2020,2019,2021
11186,Archivio Giuridico Filippo Serafini,2020,2019,2021
11188,Adults Learning Mathematics International Journal,2020,2019,2021
11192,Romance Languages and Linguistic Theory,2021,2020,2022
11196,Geotechnical Engineering Education,2024,2023,2025
11200,Stuttgarter Symposium fur Produktentwicklung,2020,2019,2021
11200,Stuttgarter Symposium fur Produktentwicklung,2022,2021,2023
11241,Australian Year Book of International Law,2020,2019,2021
11251,Italian Review of Legal History,2020,2019,2021
11264,International Journal of Social Quality (United States),2020,2019,2021
11266,Strata,2021,2020,2022
11274,AIS Transactions on Replication Research,2020,2019,2021
11289,International Development Policy,2023,2022,2024
11367,Studies in History and Philosophy of Science (The Netherlands),2021,2020,2022
11382,Notes Konserwatorski,2020,2019,2021
11390,Proceedings of the Hamburg International Conference of Logistics,2020,2019,2021
11407,Sixties,2022,2021,2023
11467,"International Conference on Structural Health Monitoring of Intelligent Infrastructure: Transferring Research into Practice, SHMII",2023,2022,2024
11494,Finance and Society,2020,2019,2021
11505,Australian Journal of Asian Law,2021,2020,2022
11531,Prace Slawistyczne. Slavica,2020,2019,2021
11538,Boletin del Museo del Prado,2020,2019,2021
11541,De Gruyter Studies in Tourism,2023,2022,2024
11575,"Information, Medium, and Society",2021,2020,2022
11590,Pakistan Journal of Criminology (discontinued),2020,2019,2021
11596,Performing Islam,2020,2019,2021
11605,"Proceedings of the International Conference on Digital Audio Effects, DAFx",2021,2020,2022
11633,Culture Crossroads,2021,2020,2022
11649,Teoria y Derecho,2020,2019,2021
11653,Hamsa,2021,2020,2022
11677,Federalismi.it,2021,2020,2022
11701,Classics Ireland,2020,2019,2021
11751,Journal of Modern Russian History and Historiography,2021,2020,2022
11773,Public Journal of Semiotics,2020,2019,2021
11809,Culture and Evolution,2021,2020,2022
11820,Sortuz,2020,2019,2021
11840,Jurnal Sylva Lestari,2021,2020,2022
11852,Bereavement,2021,2020,2022
11865,Proceedings of the Annual Meeting of the Association for Computational Linguistics,2021,2020,2022
11881,Bolivian Studies Journal,2020,2019,2021
11901,Archaeologiae,2020,2019,2021
11922,Utrecht Studies in Language and Communication,2021,2020,2022
11927,Art and Material Culture in Medieval and Renaissance Europe,2020,2019,2021
11927,Art and Material Culture in Medieval and Renaissance Europe,2022,2021,2023
11928,Brill Studies in Language Contact and Dynamics of Language,2022,2021,2023
11938,Studies in Global Slavery,2021,2020,2022
11966,Yearbook International Tribunal for the Law of the Sea/Annuaire Tribunal international du droit de la mer,2023,2022,2024
11974,Yearbook of the Research Centre for German and Austrian Exile Studies,2023,2022,2024
11976,Brill's Companions to Classical Reception,2023,2022,2024
11977,Scientific and Learned Cultures and Their Institutions,2020,2019,2021
11977,Scientific and Learned Cultures and Their Institutions,2022,2021,2023
11982,Historiography of Rome and Its Empire,2021,2020,2022
11983,Costerus New Series,2022,2021,2023
11984,Gonda Indological Studies,2021,2020,2022
11987,Nijhoff International Investment Law Series,2022,2021,2023
11989,Nuncius Series,2021,2020,2022
11998,Abgadiyat,2020,2019,2021
12070,Journal of Optimization,2020,2019,2021
12078,Neuro-Fuzzy Modeling Techniques in Economics,2020,2019,2021
12098,Brill's Companions to Classical Studies,2024,2023,2025
12099,Supplements to Method and Theory in the Study of Religion,2021,2020,2022
12100,Bibliotheca Maqriziana,2020,2019,2021
12109,TAPA,2020,2019,2021
12128,Studies on Sufism,2021,2020,2022
12133,Studien zur Osterreichischen Philosophie,2020,2019,2021
12133,Studien zur Osterreichischen Philosophie,2022,2021,2023
12134,Brill's Series on Chinese Education,2021,2020,2022
12142,Cultural Dynamics of Science,2022,2021,2023
12170,ASAP Journal,2020,2019,2021
12183,Early American History Series,2021,2020,2022
12202,Asten Journal of Teacher Education,2020,2019,2021
12204,Arheologia (Kyiv),2020,2019,2021
12221,Amsterdamer Beitrage zur Neueren Germanistik,2022,2021,2023
12224,Annotated Legal Documents on Islam in Europe,2022,2021,2023
12226,Anglican-Episcopal Theology and History,2021,2020,2022
12264,Studia Imagologica,2020,2019,2021
12265,Collection Monographique Rodopi en Litterature Francaise Contemporaine,2021,2020,2022
12266,Internationale Forschungen zur Allgemeinen und Vergleichenden Literaturwissenschaft,2022,2021,2023
12268,Women Writers in History,2021,2020,2022
12343,Caribbean Series,2024,2023,2025
12344,Yearbook of Polar Law,2021,2020,2022
12347,Modern Asian Art and Visual Culture,2022,2021,2023
12350,"Groningen Oriental Studies, Supplement",2022,2021,2023
12356,Revista Interdisciplinar de Ciencia Aplicada,2020,2019,2021
12358,Textual History of the Bible,2021,2020,2022
12358,Textual History of the Bible,2023,2022,2024
12359,Yearbook of Islamic and Middle Eastern Law,2020,2019,2021
12359,Yearbook of Islamic and Middle Eastern Law,2023,2022,2024
12387,International Labour Law Reports,2023,2022,2024
12388,Italian Yearbook of International Law,2023,2022,2024
12395,"Consciousness, Literature and the Arts",2021,2020,2022
12395,"Consciousness, Literature and the Arts",2023,2022,2024
12396,Francopolyphonies,2022,2021,2023
12397,Explokart Studies in the History of Cartography,2020,2019,2021
12397,Explokart Studies in the History of Cartography,2023,2022,2024
12409,Studies on Performing Arts and Literature of the Islamicate World,2023,2022,2024
12520,Mediaeval Sophia,2021,2020,2022
12558,Proceedings of the International Group for the Psychology of Mathematics Education,2020,2019,2021
12562,20 & 21: Revue d'Histoire,2021,2020,2022
12605,International Refugee Law Series,2023,2022,2024
12612,Ghana Studies,2021,2020,2022
12622,Arts and Archaeology of the Islamic World,2021,2020,2022
12642,"Verhandelingen van het Koninklijk Instituut voor Taal-, Land- en Volkenkunde",2024,2023,2025
12646,Mediterranean Art Histories,2023,2022,2024
12648,Yearbook of the European Convention for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment/Annuaire de la convention europeenne pour la prevention de la torture et des peines ou traitements inhumain ou degradants,2024,2023,2025
12665,Jezyk na Pograniczach,2021,2020,2022
12666,Theory and Practice of Public International Law,2020,2019,2021
12666,Theory and Practice of Public International Law,2022,2021,2023
12673,Odesa Medical Journal,2020,2019,2021
12724,Journal of Civil Law Studies,2021,2020,2022
12817,Studia Fennica Litteraria,2022,2021,2023
12820,Journal of African Population Studies (JAPS),2022,2021,2023
12841,Eurasiatica,2023,2022,2024
12855,Filologie Medievali e Moderne: Serie Orientale,2023,2022,2024
12874,Suomalaisen Kirjallisuuden Seuran Toimituksia,2021,2020,2022
12876,TheoRemes,2020,2019,2021
12884,Salduie,2021,2020,2022
12887,INFORMS Journal on Applied Analytics,2023,2022,2024
12929,Yearbook of International Disaster Law,2020,2019,2021
12945,Philotheos,2023,2022,2024
13027,Humanimalia,2021,2020,2022
13136,Journal International de Bioethique et d'Ethique des Sciences,2020,2019,2021
13136,Journal International de Bioethique et d'Ethique des Sciences,2022,2021,2023
13149,Anti-colonial Educational Perspectives for Transformative Change,2022,2021,2023
13149,Anti-colonial Educational Perspectives for Transformative Change,2024,2023,2025
13151,Anselm Studies and Texts,2021,2020,2022
13153,Kyiv-Mohyla Law and Politics Journal,2022,2021,2023
13159,Proceedings of the International Society for Music Information Retrieval Conference,2022,2021,2023
13167,International Journal of Accounting and Economics Studies (discontinued),2023,2022,2024
13173,Brill''s Plutarch Studies,2022,2021,2023
13174,Educational Futures,2024,2023,2025
13175,"Arts, Creativities, and Learning Environments in Global Perspectives",2021,2020,2022
13185,Critical Issues in the Future of Learning and Teaching,2024,2023,2025
13190,Journal of Writing Analytics,2023,2022,2024
13201,"Doing Arts Thinking: Arts Practice, Research and Education",2024,2023,2025
13207,Crossroads - History of Interactions across the Silk Routes,2022,2021,2023
13214,"International Journal on Culture, History, and Religion (discontinued)",2022,2021,2023
13242,International Technology Education Studies,2024,2023,2025
13259,Moral Development and Citizenship Education,2024,2023,2025
13260,History of European Political and Constitutional Thought,2021,2020,2022
13264,Political and Public Theologies,2024,2023,2025
13277,Studies in Art and Materiality,2024,2023,2025
13280,Medieval and Early Modern Philosophy and Science,2022,2021,2023
13282,Facing Contemporary Terrorism,2022,2021,2023
13282,Facing Contemporary Terrorism,2024,2023,2025
13285,Studies in International Criminal Law,2024,2023,2025
13291,Vienna Journal of East Asian Studies,2023,2022,2024
13297,International and Comparative Business Law and Public Policy,2023,2022,2024
13302,Transnational Migration and Education,2022,2021,2023
13302,Transnational Migration and Education,2024,2023,2025
13305,On (De)Coloniality: Curriculum Within and Beyond the West,2024,2023,2025
13307,Photography in Asia,2024,2023,2025
13308,Mapping the Past,2024,2023,2025
13309,"Education, Culture, and Society",2023,2022,2024
13310,Theory Workshop,2022,2021,2023
13310,Theory Workshop,2024,2023,2025
13311,The Language of Education,2020,2019,2021
13311,The Language of Education,2022,2021,2023
13316,Leadership and Best Practices in Educational Technology Management,2024,2023,2025
13327,"Language, Writing and Literary Culture in the Sinographic Cosmopolis",2020,2019,2021
13327,"Language, Writing and Literary Culture in the Sinographic Cosmopolis",2023,2022,2024
13365,Journal of Pacific Archaeology,2023,2022,2024
13370,Archiwum Historii Filozofii i Mysli Spolecznej,2022,2021,2023
13380,New Scholarship in Political Economy,2022,2021,2023
13380,New Scholarship in Political Economy,2024,2023,2025
13382,Ancient Iran Series,2022,2021,2023
13403,Bustan,2021,2020,2022
13450,Eulimene,2024,2023,2025
13600,Shandean,2023,2022,2024
13621,MARG,2023,2022,2024
13623,Proceedings of the Canadian Engineering Education Association Conference,2024,2023,2025
13666,Lexicon Philosophicum,2023,2022,2024
13687,Applied Human Factors and Ergonomics International,2022,2021,2023
13687,Applied Human Factors and Ergonomics International,2024,2023,2025
13691,Prilozi za orijentalnu filologiju,2024,2023,2025
14124,Journal of Scientific Exploration (discontinued),2020,2019,2021
14436,Sales and Marketing Management,2022,2021,2023
14645,Jahrbuch fur Antike und Christentum,2024,2023,2025
14785,Family Law Quarterly,2021,2020,2022
14824,Florida Geographer,2022,2021,2023
15051,Research in Economic History,2021,2020,2022
15051,Research in Economic History,2024,2023,2025
15187,Proceedings ACM SIGUCCS User Services Conference,2020,2019,2021
15326,Advances in Library Administration and Organization,2024,2023,2025
15328,Research in the History of Economic Thought and Methodology,2021,2020,2022
15333,Advances in Public Interest Accounting,2021,2020,2022
15333,Advances in Public Interest Accounting,2024,2023,2025
15335,Advances in Econometrics,2024,2023,2025
15340,Advances in Gender Research,2024,2023,2025
15347,Sociological Studies of Children and Youth,2021,2020,2022
15347,Sociological Studies of Children and Youth,2024,2023,2025
15362,Studies in Educational Ethnography,2021,2020,2022
15364,Advances in Management Accounting,2021,2020,2022
15364,Advances in Management Accounting,2024,2023,2025
15365,Research in Labor Economics,2024,2023,2025
15370,Advances in Austrian Economics,2021,2020,2022
15370,Advances in Austrian Economics,2024,2023,2025
15372,Studies in Law Politics and Society,2024,2023,2025
15373,Political Power and Social Theory,2021,2020,2022
15377,Contemporary Studies in Economic and Financial Analysis,2021,2020,2022
15382,Research in Political Economy,2021,2020,2022
15382,Research in Political Economy,2024,2023,2025
15386,Research in the Sociology of Work,2021,2020,2022
15386,Research in the Sociology of Work,2024,2023,2025
15387,Research in Finance,2024,2023,2025
15410,Advances in Mergers and Acquisitions,2021,2020,2022
15410,Advances in Mergers and Acquisitions,2024,2023,2025
15416,Research on Economic Inequality,2024,2023,2025
15475,International Journal of Advanced Media and Communication,2023,2022,2024
15503,Advances in Global Leadership,2021,2020,2022
15541,Journal of Marketing Channels,2021,2020,2022
15597,Research in Organizational Change and Development,2024,2023,2025
15598,Advances in Taxation,2024,2023,2025
15610,Projections,2021,2020,2022
15706,Advances in Hospitality and Leisure,2021,2020,2022
15926,"Sociology of Crime, Law, and Deviance",2021,2020,2022
15926,"Sociology of Crime, Law, and Deviance",2024,2023,2025
16000,Research in Political Sociology,2021,2020,2022
16000,Research in Political Sociology,2024,2023,2025
16042,Philosophica,2021,2020,2022
16145,Philosophia Africana,2020,2019,2021
16406,Diplomatic Studies,2021,2020,2022
16415,International Environmental Law,2021,2020,2022
16415,International Environmental Law,2023,2022,2024
16552,Faventia,2022,2021,2023
16802,Psychotropes (Belgium) (discontinued),2020,2019,2021
17023,Rheinisches Museum fur Philologie,2023,2022,2024
17138,Boletin de Linguistica,2020,2019,2021
17140,International Journal of Anthropology,2020,2019,2021
17141,London Journal of Canadian Studies,2022,2021,2023
17141,London Journal of Canadian Studies,2024,2023,2025
